idx,year,type,orig_cod,orig,cuenta_cod,cuenta,destino_cod,destino,detalle,Cantidad
1,2012,Income-budget,1,Comunidades Autónomas,1,Aportaciones,1,CER,Aportación cargos públicos (ordinarias),35000
2,2012,Income-budget,2,Afiliados,2,Cuotas afiliados,1,CER,Cuotas de los afiliados,25000
3,2012,Income-budget,1,Comunidades Autónomas,1,Aportaciones,3,GPS,Grupo Parlamentario,490488
4,2012,Income-budget,1,Comunidades Autónomas,3,Subvenciones,1,CER,Subvención Extraordinaria,50000
5,2012,Income-budget,3,Agrupaciones Locales,1,Aportaciones,1,CER,Varios – Agrupación local Pamplona,12500
6,2012,Income-budget,3,Agrupaciones Locales,1,Aportaciones,1,CER,Varios – Agrupación local,2400
7,2012,Income-budget,4,Rendimientos Patrimoniales,4,Intereses por cuentas corrientes,2,CER-GPS,Intereses por cuentas corrientes,3000
8,2012,Income-budget,5,Donaciones,5,Donaciones,1,CER,Donaciones,3000
9,2012,Income-budget,1,Comunidades Autónomas,3,Subvenciones,1,CER,Participación Día de la Rosa – Congreso Regional/Federal,15000
10,2012,Income-budget,1,Comunidades Autónomas,3,Subvenciones,1,CER,Subvención por Obra de Sede,0
11,2012,Income-budget,6,Entidades Bancarias,6,Créditos,1,CER,Sin créditos desde entidades bancarias,0
12,2012,Income-implementation,1,Comunidades Autónomas,1,Aportaciones,1,CER,Aportación cargos públicos (ordinarias),25375
13,2012,Income-implementation,2,Afiliados,2,Cuotas afiliados,1,CER,Cuotas de los afiliados,19493
14,2012,Income-implementation,1,Comunidades Autónomas,1,Aportaciones,3,GPS,Grupo Parlamentario,490488
15,2012,Income-implementation,1,Comunidades Autónomas,3,Subvenciones,1,CER,Subvención Extraordinaria,0
16,2012,Income-implementation,3,Agrupaciones Locales,1,Aportaciones,1,CER,Varios – Agrupación local Pamplona,14000
17,2012,Income-implementation,3,Agrupaciones Locales,1,Aportaciones,1,CER,Varios – Agrupación local,0
18,2012,Income-implementation,4,Rendimientos Patrimoniales,4,Intereses por cuentas corrientes,2,CER-GPS,Intereses por cuentas corrientes,2270.16
19,2012,Income-implementation,5,Donaciones,5,Donaciones,1,CER,Donaciones,0
20,2012,Income-implementation,1,Comunidades Autónomas,3,Subvenciones,1,CER,Participación Día de la Rosa – Congreso Regional/Federal,17236
21,2012,Income-implementation,1,Comunidades Autónomas,3,Subvenciones,1,CER,Subvención por Obra de Sede,0
22,2012,Income-implementation,6,Entidades Bancarias,6,Créditos,1,CER,Sin créditos desde entidades bancarias,0
23,2013,Income-budget,1,Comunidades Autónomas,1,Aportaciones,1,CER,Aportación cargos públicos (ordinarias),33000
24,2013,Income-budget,2,Afiliados,2,Cuotas afiliados,1,CER,Cuotas de los afiliados,20000
25,2013,Income-budget,1,Comunidades Autónomas,1,Aportaciones,3,GPS,Grupo Parlamentario,475752
26,2013,Income-budget,1,Comunidades Autónomas,3,Subvenciones,1,CER,Subvención Extraordinaria,3000
27,2013,Income-budget,3,Agrupaciones Locales,1,Aportaciones,1,CER,Varios – Agrupación local Pamplona,14000
28,2013,Income-budget,3,Agrupaciones Locales,1,Aportaciones,1,CER,Varios – Agrupación local,0
29,2013,Income-budget,4,Rendimientos Patrimoniales,4,Intereses por cuentas corrientes,2,CER-GPS,Intereses por cuentas corrientes,248
30,2013,Income-budget,5,Donaciones,5,Donaciones,1,CER,Donaciones,0
31,2013,Income-budget,1,Comunidades Autónomas,3,Subvenciones,1,CER,Participación Día de la Rosa – Congreso Regional/Federal,15000
32,2013,Income-budget,1,Comunidades Autónomas,3,Subvenciones,1,CER,Subvención por Obra de Sede,37000
33,2013,Income-budget,6,Entidades Bancarias,6,Créditos,1,CER,Sin créditos desde entidades bancarias,0
